strategy,calibration,prod_AUROC,prod_AUPRC,prod_bestF1,prod_bestF1_thr,prod_bestF1_prec,prod_bestF1_rec,prod_sparsity_F1,prod_truth_thr,prod_pos_rate,cons_AUROC,cons_AUPRC,cons_bestF1,cons_bestF1_thr,cons_bestF1_prec,cons_bestF1_rec,cons_sparsity_F1,cons_truth_thr,cons_pos_rate
raw,none,0.5961461260537937,0.5343451335664453,0.6296296296296297,0.030675338623763943,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.6357808857808858,0.275190155132562,0.4905660377358491,0.012001975172563463,0.41935483870967744,0.5909090909090909,0.3181818181818182,0.0,0.22
zscore,none,0.6013649136892814,0.5343451335664454,0.6296296296296297,0.011472336312169274,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.6491841491841491,0.28238917233157923,0.4905660377358491,0.0213091822632324,0.41935483870967744,0.5909090909090909,0.3181818181818182,0.0,0.22
robust,none,0.5820955439582498,0.5227620004952852,0.5567010309278351,0.0,0.54,0.574468085106383,0.5319148936170213,0.0,0.47,0.6590909090909091,0.2967850090529973,0.49230769230769234,0.010336478239095285,0.37209302325581395,0.7272727272727273,0.3181818181818182,0.0,0.22
per_row_zscore,none,0.586109995985548,0.553846110507038,0.6126126126126127,0.018102934752575597,0.53125,0.723404255319149,0.5531914893617021,0.0,0.47,0.6287878787878788,0.2669095493303727,0.4814814814814815,0.06863845666080974,0.40625,0.5909090909090909,0.3181818181818182,0.0,0.22
per_col_zscore,none,0.5566037735849056,0.5319550627536523,0.5436893203883495,0.003597754814769222,0.5,0.5957446808510638,0.48936170212765956,0.0,0.47,0.6028554778554778,0.27022277100941117,0.4406779661016949,0.0492570568458048,0.35135135135135137,0.5909090909090909,0.22727272727272727,0.0,0.22
signed_log,none,0.5961461260537937,0.5343451335664453,0.6296296296296297,0.49312457213116984,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.6357808857808858,0.275190155132562,0.4905660377358491,0.4176799619900293,0.41935483870967744,0.5909090909090909,0.3181818181818182,0.0,0.22
robust_log,none,0.6101967081493377,0.5678686233585899,0.5979381443298969,0.0,0.58,0.6170212765957447,0.574468085106383,0.0,0.47,0.6558857808857809,0.29503177863957375,0.47887323943661975,0.00021456864044234303,0.3469387755102041,0.7727272727272727,0.22727272727272727,0.0,0.22
tanh,none,0.5961461260537937,0.5343451335664453,0.6296296296296297,0.08271750926043421,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.6357808857808858,0.275190155132562,0.4905660377358491,0.0655432678871171,0.41935483870967744,0.5909090909090909,0.3181818181818182,0.0,0.22
raw,platt,0.5961461260537937,0.5343451335664453,0.6296296296296297,0.44795771445114735,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.36421911421911424,0.1725820354397788,0.3793103448275862,0.19558100176760662,0.23404255319148937,1.0,0.20689655172413796,0.0,0.22
zscore,platt,0.6013649136892814,0.5343451335664454,0.6296296296296297,0.44730875847430696,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.3508158508158508,0.16850677042701376,0.3793103448275862,0.20131702844109056,0.23404255319148937,1.0,0.18823529411764706,0.0,0.22
robust,platt,0.5820955439582498,0.5227620004952852,0.5567010309278351,0.4550032856248412,0.54,0.574468085106383,0.5319148936170213,0.0,0.47,0.3409090909090909,0.16640899303446438,0.3793103448275862,0.21520727305239984,0.23404255319148937,1.0,0.16666666666666666,0.0,0.22
per_row_zscore,platt,0.586109995985548,0.553846110507038,0.6126126126126127,0.42019706021734127,0.53125,0.723404255319149,0.5531914893617021,0.0,0.47,0.6287878787878788,0.2669095493303727,0.4814814814814815,0.2117882455824748,0.40625,0.5909090909090909,0.3181818181818182,0.0,0.22
per_col_zscore,platt,0.5566037735849056,0.5319550627536523,0.5436893203883495,0.42787689932589873,0.5,0.5957446808510638,0.48936170212765956,0.0,0.47,0.6028554778554778,0.27022277100941117,0.4406779661016949,0.20645509220979644,0.35135135135135137,0.5909090909090909,0.22727272727272727,0.0,0.22
signed_log,platt,0.5961461260537937,0.5343451335664453,0.6296296296296297,0.4789517432655366,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.6357808857808858,0.275190155132562,0.4905660377358491,0.26257311565877,0.41935483870967744,0.5909090909090909,0.3181818181818182,0.0,0.22
robust_log,platt,0.6101967081493377,0.5678686233585899,0.5979381443298969,0.4424896145799564,0.58,0.6170212765957447,0.574468085106383,0.0,0.47,0.6558857808857809,0.29503177863957375,0.47887323943661975,0.21675715927486416,0.3469387755102041,0.7727272727272727,0.22727272727272727,0.0,0.22
tanh,platt,0.5961461260537937,0.5343451335664453,0.6296296296296297,0.4254748631661666,0.5573770491803278,0.723404255319149,0.5319148936170213,0.0,0.47,0.6357808857808858,0.275190155132562,0.4905660377358491,0.21221088007887148,0.41935483870967744,0.5909090909090909,0.3181818181818182,0.0,0.22
raw,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6824009324009322,0.3428278173439464,0.4905660377358491,0.13043478260869565,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
zscore,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6867715617715617,0.35002683454296357,0.4905660377358491,0.16666666666666666,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
robust,isotonic,0.6011641910879165,0.5475631029470067,0.5393258426966292,0.39655172413793105,0.5714285714285714,0.5106382978723404,0.6394557823129251,0.0,0.47,0.7112470862470862,0.3635677750606483,0.49230769230769234,0.10526315789473684,0.37209302325581395,0.7272727272727273,0.4799999999999999,0.0,0.22
per_row_zscore,isotonic,0.621035728623043,0.5635866261398176,0.5979381443298969,0.36,0.58,0.6170212765957447,0.5979381443298969,0.0,0.47,0.6756993006993006,0.3341712382445141,0.4814814814814815,0.1323529411764706,0.40625,0.5909090909090909,0.47058823529411764,0.0,0.22
per_col_zscore,isotonic,0.6022544283413849,0.5437400654511454,0.5121951219512195,0.390625,0.5833333333333334,0.45652173913043476,0.6301369863013699,0.017912916839122772,0.46,0.643065268065268,0.2998503462139826,0.4406779661016949,0.14285714285714285,0.35135135135135137,0.5909090909090909,0.4406779661016949,0.0,0.22
signed_log,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6824009324009322,0.3428278173439464,0.4905660377358491,0.13043478260869565,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
robust_log,isotonic,0.6451224407868327,0.6001636661211129,0.5979381443298969,0.36,0.58,0.6170212765957447,0.5979381443298969,0.0,0.47,0.6879370629370629,0.3257480614623472,0.47887323943661975,0.09803921568627451,0.3469387755102041,0.7727272727272727,0.459016393442623,0.0,0.22
tanh,isotonic,0.6336812525090325,0.5634632474484766,0.6296296296296297,0.3333333333333333,0.5573770491803278,0.723404255319149,0.6296296296296297,0.0,0.47,0.6824009324009322,0.3428278173439464,0.4905660377358491,0.13043478260869565,0.41935483870967744,0.5909090909090909,0.4799999999999999,0.0,0.22
ENSEMBLE,rank_avg,0.6093938177438779,0.5469529230390167,0.6262626262626262,0.515625,0.5961538461538461,0.6595744680851063,,0.0,0.47,0.6241258741258741,0.28448373485828693,0.45333333333333337,0.49,0.32075471698113206,0.7727272727272727,,0.0,0.22
